id,name,neighbourhood,room_type,property_type,bedrooms,bathrooms,accommodates,price,minimum_nights,number_of_reviews,review_scores_rating,availability_365,amenities_count,host_is_superhost
1001,Lovely Cottage in Islington,Islington,Private room,Loft,1.0,2,2,108.27,1,20,3.7,130,5,t
1002,Lovely Villa in Kensington & Chelsea,Kensington & Chelsea,Private room,Cottage,4.0,1,8,139.69,2,276,4.4,48,4,f
1003,Lovely Studio in Greenwich,Greenwich,Entire home/apt,Cottage,5.0,1,10,286.78,3,174,4.4,20,6,f
1004,Lovely Loft in Kensington & Chelsea,Kensington & Chelsea,Shared room,Loft,5.0,2,10,183.54,2,264,3.5,263,4,t
1005,Lovely Loft in Westminster,Westminster,Entire home/apt,Villa,2.0,1,4,169.3,3,53,4.3,270,8,t
1006,Lovely House in Islington,Islington,Entire home/apt,Apartment,5.0,2,10,232.81,1,236,3.9,40,7,f
1007,Lovely Studio in Westminster,Westminster,Entire home/apt,Apartment,2.0,1,4,338.18,3,135,3.5,230,5,f
1008,Lovely Loft in Islington,Islington,Private room,Villa,2.0,1,4,82.66,5,61,4.0,226,5,t
1009,Lovely Studio in Camden,Camden,Private room,Townhouse,2.0,2,4,114.23,5,282,4.3,240,9,f
1010,Lovely Townhouse in Hackney,Hackney,Shared room,Studio,1.0,1,2,20.0,3,170,3.8,283,7,f
1011,Lovely Apartment in Wandsworth,Wandsworth,Entire home/apt,Studio,2.0,1,4,173.01,2,285,4.8,115,10,f
1012,Lovely Loft in Camden,Camden,Entire home/apt,Townhouse,2.0,1,4,210.26,1,164,4.5,159,4,f
1013,Lovely Apartment in Wandsworth,Wandsworth,Entire home/apt,Studio,1.0,1,2,155.65,3,267,3.9,129,4,f
1014,Lovely Villa in Islington,Islington,Entire home/apt,Townhouse,4.0,1,8,292.87,3,129,4.3,202,4,f
1015,Lovely Cottage in Westminster,Westminster,Private room,Studio,1.0,2,2,81.57,3,197,4.1,345,9,f
1016,Lovely Apartment in Camden,Camden,Entire home/apt,Studio,1.0,3,2,184.52,2,127,4.3,150,10,f
1017,Lovely Apartment in Greenwich,Greenwich,Entire home/apt,Apartment,2.0,2,4,172.8,2,59,3.9,303,3,f
1018,Lovely Villa in Hackney,Hackney,Private room,Loft,3.0,2,6,138.86,3,74,4.9,111,6,t
1019,Lovely Loft in Camden,Camden,Hotel room,Townhouse,1.0,1,2,170.78,3,193,4.5,127,10,f
1020,Lovely Studio in Camden,Camden,Private room,Studio,1.0,1,2,88.75,5,229,4.1,285,8,f
1021,Lovely Cottage in Westminster,Westminster,Entire home/apt,Townhouse,3.0,1,6,307.55,7,34,4.7,115,10,f
1022,Lovely Villa in Tower Hamlets,Tower Hamlets,Entire home/apt,House,1.0,1,2,209.61,7,17,4.3,173,9,t
1023,Lovely Cottage in Southwark,Southwark,Entire home/apt,House,1.0,1,2,154.72,5,272,4.8,354,3,f
1024,Lovely Villa in Lambeth,Lambeth,Shared room,Villa,2.0,1,4,117.52,5,172,3.8,142,10,f
1025,Lovely Apartment in Kensington & Chelsea,Kensington & Chelsea,Entire home/apt,Loft,2.0,1,4,371.99,1,185,4.3,270,7,f
1026,Lovely Cottage in Tower Hamlets,Tower Hamlets,Entire home/apt,Loft,3.0,1,6,215.64,2,4,4.2,354,8,f
1027,Lovely House in Hackney,Hackney,Entire home/apt,Cottage,5.0,2,10,273.25,1,146,4.7,317,9,f
1028,Lovely Villa in Wandsworth,Wandsworth,Private room,Apartment,,3,2,77.27,3,238,3.9,271,8,f
1029,Lovely Loft in Tower Hamlets,Tower Hamlets,Private room,House,2.0,1,4,124.75,5,143,3.7,340,8,f
1030,Lovely Loft in Westminster,Westminster,Entire home/apt,Townhouse,2.0,1,4,346.48,1,245,4.5,146,4,f
1031,Lovely Loft in Westminster,Westminster,Entire home/apt,House,2.0,2,4,338.83,3,246,4.9,32,6,f
1032,Lovely Cottage in Camden,Camden,Private room,Cottage,2.0,2,4,126.67,1,167,4.9,301,6,t
1033,Lovely Townhouse in Camden,Camden,Private room,Loft,1.0,2,2,50.28,3,92,4.8,113,4,f
1034,Lovely Loft in Lambeth,Lambeth,Private room,House,3.0,1,6,83.66,1,191,4.4,95,5,f
1035,Lovely Cottage in Tower Hamlets,Tower Hamlets,Entire home/apt,Studio,2.0,2,4,96.74,1,285,4.9,99,8,t
1036,Lovely House in Wandsworth,Wandsworth,Private room,Townhouse,1.0,3,2,,1,222,4.9,68,5,f
1037,Lovely Studio in Wandsworth,Wandsworth,Private room,House,1.0,3,2,109.13,7,143,4.7,8,7,f
1038,Lovely House in Westminster,Westminster,Entire home/apt,House,1.0,2,2,385.52,1,169,4.1,164,5,t
1039,Lovely Cottage in Lambeth,Lambeth,Entire home/apt,Loft,1.0,2,2,137.7,3,216,4.4,90,6,t
1040,Lovely Loft in Camden,Camden,Entire home/apt,Cottage,2.0,1,4,215.39,5,219,4.4,0,6,f
1041,Lovely Townhouse in Wandsworth,Wandsworth,Entire home/apt,Cottage,1.0,2,2,189.42,1,116,4.9,212,6,f
1042,Lovely Townhouse in Tower Hamlets,Tower Hamlets,Entire home/apt,Townhouse,2.0,1,4,,7,46,4.4,53,8,f
1043,Lovely House in Islington,Islington,Entire home/apt,Loft,1.0,3,2,217.11,3,155,4.0,219,4,f
1044,Lovely Cottage in Hackney,Hackney,Hotel room,Cottage,2.0,1,4,96.57,7,211,4.4,252,10,f
1045,Lovely Villa in Camden,Camden,Private room,Apartment,2.0,1,4,107.06,2,285,4.8,238,7,t
